,BCU,15C_average,15C_h08_gfdl-esm4,15C_h08_ipsl-cm6a-lr,15C_h08_mpi-esm1-2-hr,15C_h08_mri-esm2-0,15C_h08_ukesm1-0-ll,3C_average,3C_h08_gfdl-esm4,3C_h08_ipsl-cm6a-lr,3C_h08_mpi-esm1-2-hr,3C_h08_mri-esm2-0,3C_h08_ukesm1-0-ll,baseline
64,106|FSU,-0.00801482025827,-0.00218862311885,-0.00331046825158,-0.000829811731819,-0.0112122581122,-0.0225329406367,-0.021300487846,-0.0200775085541,-0.00624868368322,-0.0091674846517,-0.00692471329057,-0.0640840510459,-0.0120288580256
65,123|FSU,-0.000240107506215,-0.000328411215378,-0.000104516293504,-0.000116132270705,-0.000548729787624,-0.000102747935671,-0.000290789662813,-0.000107076397398,-0.000249789743975,-0.000493084595291,-6.66273117531e-05,-0.000537370206075,0.0
66,127|FSU,-4.57034212786e-05,-7.14538846296e-05,-6.31257134955e-05,-3.08118060275e-05,0.0,-6.31257134955e-05,-0.000281557677454,-0.000274609259577,-0.000417388143433,-0.000171903107002,-0.000169375719452,-0.000374512163944,0.0
67,131|FSU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,132|FSU,-0.000118439875223,-0.000129691271468,0.0,-6.56537686154e-05,0.0,-0.000396854334213,-0.00028306588797,-0.000253018593867,0.0,-0.000802107625532,-0.000200750582735,-0.000159452612934,0.0
69,146|FSU,-9.88848259232,-10.6369966254,-10.1404841451,-9.55357250196,-10.3194372312,-8.79192273278,-9.60637014301,-8.46983432474,-10.2391542101,-10.4934314422,-9.78147268727,-9.04795837501,-9.85546843475
70,148|FSU,-0.000766251869209,-0.00297699651128,0.0,-0.000129693995405,-0.00068486649252,-3.9702252252e-05,-0.000345812040905,0.0,0.0,-0.00168935796682,-3.9702252252e-05,0.0,-0.000145171201439
71,154|FSU,-0.386643799625,-0.473855653468,-0.435967096726,-0.340275843437,-0.374471817355,-0.308648573068,-0.468081839065,-0.599529079759,-0.512038573934,-0.45570869048,-0.33465338419,-0.438479453775,-0.386185602797
72,157|FSU,-0.402025992789,-0.42531464717,-0.416450235651,-0.381574784658,-0.362001448499,-0.424788853089,-0.446339821935,-0.528619273668,-0.421144217041,-0.426873978865,-0.373612114966,-0.481449544479,-0.391244364694
73,160|FSU,-0.00834856611715,-0.00425982883462,-0.00816766308662,-0.00884980504134,-0.0158660114303,-0.00459952118717,-0.00677593843042,-0.00695463283228,-0.00612966247445,-0.012247599116,-0.00458657844501,-0.00396121906033,-0.00782562880408
74,9|LAM,-0.113341733041,-0.137218129305,-0.107339444281,-0.120612497444,-0.126905636532,-0.0746329508684,-0.14478185911,-0.161736368141,-0.110897061157,-0.207618661109,-0.109977366319,-0.133679858255,-0.0735115486332
75,27|LAM,-0.527992190127,-0.529795853517,-0.549087588556,-0.524087455182,-0.528201849185,-0.508788215018,-0.541178523335,-0.543081162803,-0.541059822712,-0.541050419408,-0.564952850724,-0.515748347351,-0.56066682948
76,28|LAM,-0.387548655686,-0.297860523278,-0.180302613415,-0.542573909021,-0.509557907237,-0.407448330341,-0.563636021827,-0.322462847864,-0.639081528177,-0.813461639395,-0.496666094725,-0.546507988765,-0.20595002269
77,29|LAM,-0.616207602029,-0.471673186003,-0.587806324984,-0.432221391398,-0.859498532736,-0.729838551299,-0.843154786284,-0.639623948686,-0.990810535033,-0.838765645396,-0.75194025712,-0.994633596645,-0.600783814472
78,32|LAM,-1.27717994156,-1.41896787044,-1.04663916739,-1.47633208176,-1.46565912746,-0.978301442377,-1.60814111709,-1.68204464256,-1.48845680828,-1.8473847455,-1.74600628208,-1.2768129933,-1.17485510273
79,33|LAM,-5.51717222958,-5.38938000279,-5.34046496045,-6.06518504605,-5.35169277792,-5.4391383044,-6.37405383776,-7.06592068108,-5.78210491504,-6.93956406409,-6.58951157659,-5.49316802792,-5.9960992191
80,37|LAM,-0.10668799658,-0.0867504316266,-0.0815228517167,-0.0790606864612,-0.194232102484,-0.0918739092303,-0.0860228249221,-0.0901513525168,-0.0780107152823,-0.0802421088156,-0.0900279707275,-0.0916819688573,-0.0887167015026
81,46|LAM,-0.152205416684,-0.155830217292,-0.201020013032,-0.153007249701,-0.0659497112792,-0.185219898431,-0.183518302463,-0.207812429377,-0.210127692796,-0.156832525852,-0.205561700197,-0.137257149667,-0.154562723037
