NAME,BASIN,REGION,BASIN_ID,area,area_km2,BCU_name
Bay of Bengal North East Coast - SAS,Bay of Bengal North East Coast,SAS,24.000000000000000,3.569228469270275,40602.964062404884316,24|SAS
Caspian Sea East Coast - SAS,Caspian Sea East Coast,SAS,30.000000000000000,7.645296728597311,77637.225624893428176,30|SAS
Farahud Hamun-i-Mashkel Helmand - SAS,Farahud Hamun-i-Mashkel Helmand,SAS,50.000000000000000,42.999246276314544,454070.059092185751069,50|SAS
Ganges Bramaputra - SAS,Ganges Bramaputra,SAS,53.000000000000000,114.574660805014474,1265290.398269949480891,53|SAS
India East Coast Pennar Mahandi Krishna Cauvery Brahamini Yasai - SAS,India East Coast Pennar Mahandi Krishna Cauvery Brahamini Yasai,SAS,65.000000000000000,106.088175287642926,1240066.349423666484654,65|SAS
India West Coast Tapti Narmada Mahi - SAS,India West Coast Tapti Narmada Mahi,SAS,66.000000000000000,27.194386419725369,315036.962117314571515,66|SAS
Indus - SAS,Indus,SAS,67.000000000000000,73.634802422221398,768352.734831368550658,67|SAS
Irrawaddy Salween Sittang - SAS,Irrawaddy Salween Sittang,SAS,70.000000000000000,1.565075925711981,17491.903461512200010,70|SAS
Persian Gulf Coast - SAS,Persian Gulf Coast,SAS,115.000000000000000,7.345039821962738,81273.280738668094273,115|SAS
Sabarmati - SAS,Sabarmati,SAS,124.000000000000000,47.438932457740918,525238.825292609515600,124|SAS
Sri Lanka - SAS,Sri Lanka,SAS,141.000000000000000,5.399827375600596,65886.881826475015259,141|SAS
Tarim Interior - SAS,Tarim Interior,SAS,148.000000000000000,0.212744215831223,2118.013419648928448,148|SAS
Adriatic Sea Greece Black Sea Coast - WEU,Adriatic Sea Greece Black Sea Coast,WEU,0.000000000000000,16.602535951736741,158496.723886438325280,0|WEU
Africa North West Coast - WEU,Africa North West Coast,WEU,4.000000000000000,0.772579756796993,8357.748718836144690,4|WEU
Arctic Ocean Islands - WEU,Arctic Ocean Islands,WEU,16.000000000000000,657.836338923363542,2148130.212618791963905,16|WEU
Black Sea South Coast - WEU,Black Sea South Coast,WEU,26.000000000000000,33.524089571662536,318478.028610578505322,26|WEU
Caspian Sea South West Coast - WEU,Caspian Sea South West Coast,WEU,31.000000000000000,3.120157856849799,29506.316205280476424,31|WEU
Danube - WEU,Danube,WEU,39.000000000000000,16.754109860666297,139167.596216365695000,39|WEU
Denmark Germany Coast - WEU,Denmark Germany Coast,WEU,41.000000000000000,10.465544706724662,74244.066786135954317,41|WEU
Douro Guadalquivir Tagus Guadiana Spain Portugal Atlantic Coast - WEU,Douro Guadalquivir Tagus Guadiana Spain Portugal Atlantic Coast,WEU,45.000000000000000,42.399393713769868,400725.215368285484146,45|WEU
Ebro Spain France South Coast Rhone - WEU,Ebro Spain France South Coast Rhone,WEU,47.000000000000000,34.013317774287870,310081.867113216372672,47|WEU
Elbe Ems Gironde Loire Maas Rhine Scheldt Seine France West Coast - WEU,Elbe Ems Gironde Loire Maas Rhine Scheldt Seine France West Coast,WEU,48.000000000000000,96.285853629538579,783670.905274236691184,48|WEU
England Wales Scotland - WEU,England Wales Scotland,WEU,49.000000000000000,31.515989357900203,229392.173897566070082,49|WEU
Finland Neva - WEU,Finland Neva,WEU,51.000000000000000,52.765180476581904,289747.214957131829578,51|WEU
Iceland - WEU,Iceland,WEU,64.000000000000000,19.362127261620572,101871.903033484704792,64|WEU
Ireland - WEU,Ireland,WEU,68.000000000000000,11.400366118469977,84328.969168328738306,68|WEU
Mediterranean Sea East Coast - WEU,Mediterranean Sea East Coast,WEU,85.000000000000000,23.180504996784194,226174.475025326624746,85|WEU
Mediterranean Sea Islands - WEU,Mediterranean Sea Islands,WEU,86.000000000000000,6.679176136551111,63898.674676525406539,86|WEU
Oder Wisla Neman Daugava Neva Poland Baltic Coast - WEU,Oder Wisla Neman Daugava Neva Poland Baltic Coast,WEU,106.000000000000000,0.758740232113975,5736.804760246722253,106|WEU
Po Italy East Coast - WEU,Po Italy East Coast,WEU,119.000000000000000,18.814651406075431,166467.625838251231471,119|WEU
Scandinavia North Coast - WEU,Scandinavia North Coast,WEU,127.000000000000000,64.143921239700589,337093.248785287432838,127|WEU
Scotland - WEU,Scotland,WEU,128.000000000000000,0.225422729512069,1385.170024937485778,128|WEU
Sweden - WEU,Sweden,WEU,145.000000000000000,84.699775599280201,478577.106430912914220,145|WEU
Tiber Italy West Coast - WEU,Tiber Italy West Coast,WEU,150.000000000000000,9.348377359549648,86241.060069687388022,150|WEU
Tigris Euphrates - WEU,Tigris Euphrates,WEU,151.000000000000000,19.815583041053088,192100.938291249767644,151|WEU
