id,source,recipient,status,time,vol_yr,runoff,vol_mon
11,Yangtze,Huang He,Planned,6,17.4,12.956837,2.711757332
11,Yangtze,Huang He,Planned,7,17.4,15.544164,3.253263176
11,Yangtze,Huang He,Planned,8,17.4,12.678243,2.653449944
11,Yangtze,Huang He,Planned,9,17.4,12.092584,2.530876426
11,Yangtze,Huang He,Planned,10,17.4,7.682734,1.607931801
11,Yangtze,Huang He,Planned,11,17.4,4.434016,0.928002366
11,Yangtze,Huang He,Planned,12,17.4,3.07332,0.643220104
12,Ganges Bramaputra,Huang He,Planned,1,25,1.294505,0.857625405
12,Ganges Bramaputra,Huang He,Planned,2,25,1.000401,0.662777905
12,Ganges Bramaputra,Huang He,Planned,3,25,1.165878,0.772408443
12,Ganges Bramaputra,Huang He,Planned,4,25,1.340811,0.888303696
12,Ganges Bramaputra,Huang He,Planned,5,25,1.979165,1.311221033
12,Ganges Bramaputra,Huang He,Planned,6,25,3.884274,2.57337906
12,Ganges Bramaputra,Huang He,Planned,7,25,6.867996,4.5501314
12,Ganges Bramaputra,Huang He,Planned,8,25,7.839109,5.193505647
12,Ganges Bramaputra,Huang He,Planned,9,25,5.672417,3.758045681
12,Ganges Bramaputra,Huang He,Planned,10,25,3.048551,2.019702345
12,Ganges Bramaputra,Huang He,Planned,11,25,2.028447,1.343870961
12,Ganges Bramaputra,Huang He,Planned,12,25,1.613598,1.069028422
13,Yangtze,Huang He,Planned,1,20,14.032818,0.541636998
13,Yangtze,Huang He,Planned,2,20,11.911546,0.4597604
13,Yangtze,Huang He,Planned,3,20,16.298599,0.629091336
13,Yangtze,Huang He,Planned,4,20,26.067765,1.006160414
13,Yangtze,Huang He,Planned,5,20,45.95863,1.773905596
13,Yangtze,Huang He,Planned,6,20,69.623051,2.687302031
13,Yangtze,Huang He,Planned,7,20,91.468594,3.530493636
13,Yangtze,Huang He,Planned,8,20,78.361189,3.024575616
13,Yangtze,Huang He,Planned,9,20,67.991582,2.62433079
13,Yangtze,Huang He,Planned,10,20,48.983322,1.890652289
13,Yangtze,Huang He,Planned,11,20,29.091007,1.12285114
13,Yangtze,Huang He,Planned,12,20,18.375097,0.709239753
